Array,Container With Most Water,Medium,8,No,https://practice.geeksforgeeks.org/problems/container-with-most-water0535/1?page=4&difficulty%5B%5D=1&category%5B%5D=Arrays&sortBy=submissions
Array,Maximum Triplet product,Medium,8,No,https://practice.geeksforgeeks.org/problems/d54c71dc974b7db3a200eb63f34e3d1cba955d86/1?page=4&difficulty%5B%5D=1&category%5B%5D=Arrays&sortBy=submissions
Array,Coins of Geekland,Medium,8,No,https://practice.geeksforgeeks.org/problems/257a9e27fb3e58255622c8dcb06e0919cc1c6c11/1?page=7&difficulty%5B%5D=1&category%5B%5D=Arrays&sortBy=submissions
Array,Next Permutation,Medium,9,No,https://leetcode.com/problems/next-permutation
Array,Rotate Image,Medium,9,No,https://leetcode.com/problems/rotate-image
Array,Count Primes,Medium,10,No,https://leetcode.com/problems/count-primes
Array,Watering Plants,Medium,10,No,https://leetcode.com/problems/watering-plants
Array,Arithmetic Subarrays,Medium,10,No,https://leetcode.com/problems/arithmetic-subarrays
Array,Majority Element,Medium,11,No,https://www.geeksforgeeks.org/majority-element/
Array,Max Circular Subarray Sum,Hard,11,No,https://practice.geeksforgeeks.org/problems/max-circular-subarray-sum-1587115620/1?page=1&difficulty%5B%5D=2&category%5B%5D=Arrays&sortBy=submissions
Array,Count the subarrays having product less than k,Hard,12,No,https://practice.geeksforgeeks.org/problems/count-the-subarrays-having-product-less-than-k1708/1?page=1&difficulty%5B%5D=2&category%5B%5D=Arrays&sortBy=submissions
Array,Maximum subset XOR,Hard,12,No,https://practice.geeksforgeeks.org/problems/maximum-subset-xor/1?page=1&difficulty%5B%5D=2&category%5B%5D=Arrays&sortBy=submissions
Array,Next Smallest Palindrome,Hard,13,No,https://practice.geeksforgeeks.org/problems/next-smallest-palindrome4740/1?page=1&difficulty%5B%5D=2&category%5B%5D=Arrays&sortBy=submissions
Array,Count the number of subarrays,Hard,13,No,https://practice.geeksforgeeks.org/problems/count-the-number-of-subarrays/1?page=1&difficulty%5B%5D=2&category%5B%5D=Arrays&sortBy=submissions
Array,Largest rectangle of 1s with swapping of columns allowed,Hard,14,No,https://practice.geeksforgeeks.org/problems/find-the-largest-rectangle-of-1s-with-swapping-of-columns-allowed0243/1?page=1&difficulty%5B%5D=2&category%5B%5D=Arrays&sortBy=submissions
Array,N/3 Repeat Number,Hard,14,No,https://www.interviewbit.com/problems/n3-repeat-number/
,,,,,#VALUE!
String,Reverse a String,Easy,15,No,https://practice.geeksforgeeks.org/problems/reverse-a-string/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Strings&sortBy=submissions
String,Check if strings are rotations of each other or not,Easy,15,No,https://practice.geeksforgeeks.org/problems/check-if-strings-are-rotations-of-each-other-or-not-1587115620/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Strings&sortBy=submissions
String,Maximum Occuring Character,Easy,15,No,https://practice.geeksforgeeks.org/problems/maximum-occuring-character-1587115620/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Strings&sortBy=submissions
String,Binary String,Easy,15,No,https://practice.geeksforgeeks.org/problems/binary-string-1587115620/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Strings&sortBy=submissions
String,Anagram of String,Easy,16,No,https://practice.geeksforgeeks.org/problems/anagram-of-string/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Strings&sortBy=submissions
String,Merge two strings,Easy,16,No,https://practice.geeksforgeeks.org/problems/merge-two-strings2736/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Strings&sortBy=submissions
String,Reverse words in a given string,Easy,16,No,https://practice.geeksforgeeks.org/problems/reverse-words-in-a-given-string5459/1?page=1&difficulty%5B%5D=0&category%5B%5D=Strings&sortBy=submissions
String,Palindrome String,Easy,16,No,https://practice.geeksforgeeks.org/problems/palindrome-string0817/1?page=1&difficulty%5B%5D=0&category%5B%5D=Strings&sortBy=submissions
String,Longest Common Prefix in an Array,Easy,17,No,https://practice.geeksforgeeks.org/problems/longest-common-prefix-in-an-array5129/1?page=1&difficulty%5B%5D=0&category%5B%5D=Strings&sortBy=submissions
String,Roman Number to Integer,Easy,17,No,https://practice.geeksforgeeks.org/problems/roman-number-to-integer3201/1?page=1&difficulty%5B%5D=0&category%5B%5D=Strings&sortBy=submissions
String,Length of Last Word,Easy,17,No,https://leetcode.com/problems/length-of-last-word
String,Longest Distinct characters in string,Easy,17,No,https://practice.geeksforgeeks.org/problems/longest-distinct-characters-in-string5848/1?page=1&difficulty%5B%5D=0&category%5B%5D=Strings&sortBy=submissions
String,Remove all duplicates from a given string,Easy,18,No,https://practice.geeksforgeeks.org/problems/remove-all-duplicates-from-a-given-string4321/1?page=1&difficulty%5B%5D=0&category%5B%5D=Strings&sortBy=submissions
String,Min Number of Flips,Easy,18,No,https://practice.geeksforgeeks.org/problems/min-number-of-flips3210/1?page=2&difficulty%5B%5D=0&category%5B%5D=Strings&sortBy=submissions
String,Meta Strings,Easy,18,No,https://practice.geeksforgeeks.org/problems/meta-strings5713/1?page=4&difficulty%5B%5D=0&category%5B%5D=Strings&sortBy=submissions
