LinkedList,Detect Loop in linked list,Easy,53,No,https://practice.geeksforgeeks.org/problems/detect-loop-in-linked-list/1?page=1&difficulty%5B%5D=0&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Move Last Element to Front of a Linked List,Easy,53,No,https://practice.geeksforgeeks.org/problems/move-last-element-to-front-of-a-linked-list/1?page=2&difficulty%5B%5D=0&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Nth node from end of linked list,Easy,53,No,https://practice.geeksforgeeks.org/problems/nth-node-from-end-of-linked-list/1?page=1&difficulty%5B%5D=0&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Finding middle element in a linked list,Easy,53,No,https://practice.geeksforgeeks.org/problems/finding-middle-element-in-a-linked-list/1?page=1&difficulty%5B%5D=0&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Reverse a linked list,Easy,54,No,https://practice.geeksforgeeks.org/problems/reverse-a-linked-list/1?page=1&difficulty%5B%5D=0&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Remove duplicate element from sorted Linked List,Easy,54,No,https://practice.geeksforgeeks.org/problems/remove-duplicate-element-from-sorted-linked-list/1?page=1&difficulty%5B%5D=0&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Delete without head pointer,Easy,54,No,https://practice.geeksforgeeks.org/problems/delete-without-head-pointer/1?page=1&difficulty%5B%5D=0&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Remove duplicates from an unsorted linked list,Easy,54,No,https://practice.geeksforgeeks.org/problems/remove-duplicates-from-an-unsorted-linked-list/1?page=1&difficulty%5B%5D=0&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Delete a Node in Single Linked List,Easy,55,No,https://practice.geeksforgeeks.org/problems/delete-a-node-in-single-linked-list/1?page=1&difficulty%5B%5D=0&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,"Given a linked list of 0s, 1s and 2s, sort it.",Easy,55,No,https://practice.geeksforgeeks.org/problems/given-a-linked-list-of-0s-1s-and-2s-sort-it/1?page=1&difficulty%5B%5D=0&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Find length of Loop,Easy,55,No,https://practice.geeksforgeeks.org/problems/find-length-of-loop/1?page=1&difficulty%5B%5D=0&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Intersection of two sorted Linked lists,Easy,55,No,https://practice.geeksforgeeks.org/problems/intersection-of-two-sorted-linked-lists/1?page=1&difficulty%5B%5D=0&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Pairwise swap elements of a linked list,Easy,56,No,https://practice.geeksforgeeks.org/problems/pairwise-swap-elements-of-a-linked-list-by-swapping-data/1?page=1&difficulty%5B%5D=0&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Sorted insert for circular linked list,Easy,56,No,https://practice.geeksforgeeks.org/problems/sorted-insert-for-circular-linked-list/1?page=1&difficulty%5B%5D=0&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Count Pairs whose sum is equal to X,Easy,56,No,https://practice.geeksforgeeks.org/problems/count-pairs-whose-sum-is-equal-to-x/1?page=1&difficulty%5B%5D=0&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Intersection of Two Linked Lists,Easy,56,No,https://practice.geeksforgeeks.org/problems/intersection-of-two-linked-list/1?page=1&difficulty%5B%5D=0&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Split a Circular Linked List into two halves,Easy,57,No,https://practice.geeksforgeeks.org/problems/split-a-circular-linked-list-into-two-halves/1?page=2&difficulty%5B%5D=0&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Union of Two Linked Lists,Easy,57,No,https://practice.geeksforgeeks.org/problems/union-of-two-linked-list/1?page=2&difficulty%5B%5D=0&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Linked List Matrix,Easy,57,No,https://practice.geeksforgeeks.org/problems/linked-list-matrix/1?page=2&difficulty%5B%5D=0&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,XOR Linked List,Easy,57,No,https://practice.geeksforgeeks.org/problems/xor-linked-list/1?page=3&difficulty%5B%5D=0&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Remove loop in Linked List,Medium,58,No,https://practice.geeksforgeeks.org/problems/remove-loop-in-linked-list/1?page=1&difficulty%5B%5D=1&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Intersection Point in Y Shaped Linked Lists,Medium,58,No,https://practice.geeksforgeeks.org/problems/intersection-point-in-y-shapped-linked-lists/1?page=1&difficulty%5B%5D=1&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Check if Linked List is Palindrome,Medium,58,No,https://practice.geeksforgeeks.org/problems/check-if-linked-list-is-pallindrome/1?page=1&difficulty%5B%5D=1&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Rotate a Linked List,Medium,59,No,https://practice.geeksforgeeks.org/problems/rotate-a-linked-list/1?page=1&difficulty%5B%5D=1&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Merge two sorted linked lists,Medium,59,No,https://practice.geeksforgeeks.org/problems/merge-two-sorted-linked-lists/1?page=1&difficulty%5B%5D=1&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Delete nodes having greater value on right,Medium,59,No,https://practice.geeksforgeeks.org/problems/delete-nodes-having-greater-value-on-right/1?page=1&difficulty%5B%5D=1&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Merge Sort for Linked List,Medium,60,No,https://practice.geeksforgeeks.org/problems/sort-a-linked-list/1?page=1&difficulty%5B%5D=1&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Rearrange a linked list,Medium,60,No,https://practice.geeksforgeeks.org/problems/rearrange-a-linked-list/1?page=1&difficulty%5B%5D=1&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Prime List,Medium,60,No,https://practice.geeksforgeeks.org/problems/6cb0782855c0f11445b8d70e220f888e6ea8e22a/1?page=1&difficulty%5B%5D=1&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Length of longest palindrome in linked list,Medium,61,No,https://practice.geeksforgeeks.org/problems/length-of-longest-palindrome-in-linked-list/1?page=2&difficulty%5B%5D=1&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Reverse alternate nodes in Link List,Medium,61,No,https://practice.geeksforgeeks.org/problems/given-a-linked-list-reverse-alternate-nodes-and-append-at-the-end/1?page=2&difficulty%5B%5D=1&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Merge Sort on Doubly Linked List,Medium,61,No,https://practice.geeksforgeeks.org/problems/merge-sort-on-doubly-linked-list/1?page=2&difficulty%5B%5D=1&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Quick Sort on Linked List,Medium,62,No,https://practice.geeksforgeeks.org/problems/quick-sort-on-linked-list/1?page=2&difficulty%5B%5D=1&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,QuickSort on Doubly Linked List,Medium,62,No,https://practice.geeksforgeeks.org/problems/quicksort-on-doubly-linked-list/1?page=2&difficulty%5B%5D=1&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Remove all occurences of duplicates in a linked list,Medium,62,No,https://practice.geeksforgeeks.org/problems/remove-all-occurences-of-duplicates-in-a-linked-list/1?page=2&difficulty%5B%5D=1&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Insertion Sort for Singly Linked List,Medium,63,No,https://practice.geeksforgeeks.org/problems/insertion-sort-for-singly-linked-list/1?page=2&difficulty%5B%5D=1&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Reverse Alternate K Nodes,Medium,63,No,https://www.interviewbit.com/problems/reverse-alternate-k-nodes/
LinkedList,Linked List Cycle II,Medium,63,No,https://leetcode.com/problems/linked-list-cycle-ii
LinkedList,LRU Cache,Medium,64,No,https://leetcode.com/problems/lru-cache
LinkedList,Flatten a Multilevel Doubly Linked List,Medium,64,No,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list
LinkedList,Clone a linked list with next and random pointer,Hard,64,No,https://practice.geeksforgeeks.org/problems/clone-a-linked-list-with-next-and-random-pointer/1?page=1&difficulty%5B%5D=2&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Reorder List,Hard,65,No,https://practice.geeksforgeeks.org/problems/reorder-list/1?page=1&difficulty%5B%5D=2&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,Reverse a sublist of a linked list,Hard,65,No,https://practice.geeksforgeeks.org/problems/reverse-a-sublist-of-a-linked-list/1?page=1&difficulty%5B%5D=2&category%5B%5D=Linked%20List&sortBy=submissions
LinkedList,LFU Cache,Hard,66,No,https://leetcode.com/problems/lfu-cache
LinkedList,Reverse Nodes in k-Group,Hard,66,No,https://leetcode.com/problems/reverse-nodes-in-k-group
LinkedList,Design Skiplist,Hard,67,No,https://leetcode.com/problems/design-skiplist
LinkedList,Subtraction in Linked List,Hard,67,No,https://practice.geeksforgeeks.org/problems/subtraction-in-linked-list/1?page=1&difficulty%5B%5D=2&category%5B%5D=Linked%20List&sortBy=submissions
,,,,,#VALUE!
Stack,Immediate Smaller Element,Easy,68,No,https://practice.geeksforgeeks.org/problems/immediate-smaller-element1142/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Stack&sortBy=submissions
Stack,Implement stack using array,Easy,68,No,https://practice.geeksforgeeks.org/problems/implement-stack-using-array/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Stack&sortBy=submissions
Stack,Implement Stack using Linked List,Easy,68,No,https://practice.geeksforgeeks.org/problems/implement-stack-using-linked-list/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Stack&sortBy=submissions
Stack,Pairwise Consecutive Elements,Easy,68,No,https://practice.geeksforgeeks.org/problems/pairwise-consecutive-elements/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Stack&sortBy=submissions
Stack,Parenthesis Checker,Easy,69,No,https://practice.geeksforgeeks.org/problems/parenthesis-checker2744/1?page=1&difficulty%5B%5D=0&category%5B%5D=Stack&sortBy=submissions
Stack,Sort a stack,Easy,69,No,https://practice.geeksforgeeks.org/problems/sort-a-stack/1?page=1&difficulty%5B%5D=0&category%5B%5D=Stack&sortBy=submissions
Stack,Delete middle element of a stack,Easy,69,No,https://practice.geeksforgeeks.org/problems/delete-middle-element-of-a-stack/1?page=1&difficulty%5B%5D=0&category%5B%5D=Stack&sortBy=submissions
Stack,Maximum Difference,Easy,69,No,https://practice.geeksforgeeks.org/problems/maximum-difference-1587115620/1?page=1&difficulty%5B%5D=0&category%5B%5D=Stack&sortBy=submissions
Stack,Print Bracket Number,Easy,70,No,https://practice.geeksforgeeks.org/problems/print-bracket-number4058/1?page=1&difficulty%5B%5D=0&category%5B%5D=Stack&sortBy=submissions
Stack,Max sum in sub-arrays,Easy,70,No,https://practice.geeksforgeeks.org/problems/max-sum-in-sub-arrays0824/1?page=1&difficulty%5B%5D=0&category%5B%5D=Stack&sortBy=submissions
Stack,String Manipulation,Easy,70,No,https://practice.geeksforgeeks.org/problems/string-manipulation3706/1?page=1&difficulty%5B%5D=0&category%5B%5D=Stack&sortBy=submissions
Stack,Make the array beautiful,Easy,70,No,https://practice.geeksforgeeks.org/problems/badefd58bace4f2ca25267ccfe0c9dc844415e90/1?page=2&difficulty%5B%5D=0&category%5B%5D=Stack&sortBy=submissions
Stack,Next Greater Element I,Easy,71,No,https://leetcode.com/problems/next-greater-element-i
Stack,Baseball Game,Easy,71,No,https://leetcode.com/problems/baseball-game
Stack,Backspace String Compare,Easy,71,No,https://leetcode.com/problems/backspace-string-compare
Stack,Next Greater Element,Medium,71,No,https://practice.geeksforgeeks.org/problems/next-larger-element-1587115620/1?page=1&difficulty%5B%5D=1&category%5B%5D=Stack&sortBy=submissions
Stack,Get minimum element from stack,Medium,72,No,https://practice.geeksforgeeks.org/problems/get-minimum-element-from-stack/1?page=1&difficulty%5B%5D=1&category%5B%5D=Stack&sortBy=submissions
Stack,The Celebrity Problem,Medium,72,No,https://practice.geeksforgeeks.org/problems/the-celebrity-problem/1?page=1&difficulty%5B%5D=1&category%5B%5D=Stack&sortBy=submissions
Stack,Smallest number on left,Medium,72,No,https://practice.geeksforgeeks.org/problems/smallest-number-on-left3403/1?page=1&difficulty%5B%5D=1&category%5B%5D=Stack&sortBy=submissions
Stack,Asteroid Collision,Medium,73,No,https://practice.geeksforgeeks.org/problems/asteroid-collision/1?page=1&difficulty%5B%5D=1&category%5B%5D=Stack&sortBy=submissions
Stack,Remove K Digits,Medium,73,No,https://practice.geeksforgeeks.org/problems/remove-k-digits/1?page=2&difficulty%5B%5D=1&category%5B%5D=Stack&sortBy=submissions
Stack,Valid Expression,Medium,73,No,https://practice.geeksforgeeks.org/problems/valid-expression1025/1?page=2&difficulty%5B%5D=1&category%5B%5D=Stack&sortBy=submissions
Stack,Find Maximum Equal sum of Three Stacks,Medium,74,No,https://practice.geeksforgeeks.org/problems/find-maximum-equal-sum-of-three-stacks/1?page=2&difficulty%5B%5D=1&category%5B%5D=Stack&sortBy=submissions
Stack,MAXSPPROD,Medium,74,No,https://www.interviewbit.com/problems/maxspprod/
Stack,Decode String,Medium,74,No,https://leetcode.com/problems/decode-string
Stack,Evaluate Expression,Medium,75,No,https://www.interviewbit.com/problems/evaluate-expression/
Stack,Redundant Braces,Medium,75,No,https://www.interviewbit.com/problems/redundant-braces/
Stack,Next Greater Element II,Medium,75,No,https://leetcode.com/problems/next-greater-element-ii
Stack,Clumsy Factorial,Medium,76,No,https://leetcode.com/problems/clumsy-factorial
Stack,Maximum Rectangular Area in a Histogram,Hard,76,No,https://practice.geeksforgeeks.org/problems/maximum-rectangular-area-in-a-histogram-1587115620/1?page=1&difficulty%5B%5D=2&category%5B%5D=Stack&sortBy=submissions
Stack,Maximum of minimum for every window size,Hard,77,No,https://practice.geeksforgeeks.org/problems/maximum-of-minimum-for-every-window-size3453/1?page=1&difficulty%5B%5D=2&category%5B%5D=Stack&sortBy=submissions
Stack,IPL 2021 - Final,Hard,77,No,https://practice.geeksforgeeks.org/problems/3b47f0ad00f953dd514235ddec54e39fdc297dda/1?page=1&difficulty%5B%5D=2&category%5B%5D=Stack&sortBy=submissions
Stack,IPL 2021 - Match Day 6 - Semi Final,Hard,78,No,https://practice.geeksforgeeks.org/problems/cd4b48615a30999443b728a72de6cd5addbd0501/1?page=1&difficulty%5B%5D=2&category%5B%5D=Stack&sortBy=submissions
Stack,Rain Water Trapped,Hard,78,No,https://www.interviewbit.com/problems/rain-water-trapped/
Stack,Simplify Directory Path,Hard,79,No,https://www.interviewbit.com/problems/simplify-directory-path/
Stack,Basic Calculator,Hard,79,No,https://leetcode.com/problems/basic-calculator
Stack,Create Maximum Number,Hard,80,No,https://leetcode.com/problems/create-maximum-number
Stack,Tag Validator,Hard,80,No,https://leetcode.com/problems/tag-validator
Stack,Max Chunks To Make Sorted II,Hard,81,No,https://leetcode.com/problems/max-chunks-to-make-sorted-ii
,,,,,#VALUE!
Queue,Queue Push & Pop,Easy,81,No,https://practice.geeksforgeeks.org/problems/queue-designer/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Queue&sortBy=submissions
Queue,Queue Reversal,Easy,81,No,https://practice.geeksforgeeks.org/problems/queue-reversal/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Queue&sortBy=submissions
Queue,Implement Queue using array,Easy,82,No,https://practice.geeksforgeeks.org/problems/implement-queue-using-array/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Queue&sortBy=submissions
Queue,Implement Queue using Linked List,Easy,82,No,https://practice.geeksforgeeks.org/problems/implement-queue-using-linked-list/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Queue&sortBy=submissions
Queue,Generate Binary Numbers,Easy,82,No,https://practice.geeksforgeeks.org/problems/generate-binary-numbers-1587115620/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Queue&sortBy=submissions
Queue,Stack using two queues,Easy,82,No,https://practice.geeksforgeeks.org/problems/stack-using-two-queues/1?page=1&difficulty%5B%5D=0&category%5B%5D=Queue&sortBy=submissions
Queue,Queue using two Stacks,Easy,83,No,https://practice.geeksforgeeks.org/problems/queue-using-two-stacks/1?page=1&difficulty%5B%5D=0&category%5B%5D=Queue&sortBy=submissions
Queue,Reverse First K elements of Queue,Easy,83,No,https://practice.geeksforgeeks.org/problems/reverse-first-k-elements-of-queue/1?page=1&difficulty%5B%5D=0&category%5B%5D=Queue&sortBy=submissions
Queue,Deque Implementations,Easy,83,No,https://practice.geeksforgeeks.org/problems/deque-implementations/1?page=1&difficulty%5B%5D=0&category%5B%5D=Queue&sortBy=submissions
Queue,Next Right Node,Easy,83,No,https://practice.geeksforgeeks.org/problems/next-right-node/1?page=1&difficulty%5B%5D=0&category%5B%5D=Queue&sortBy=submissions
Queue,First Unique Character in a Str,Easy,84,No,https://leetcode.com/problems/first-unique-character-in-a-string
Queue,Number of Recent Calls,Easy,84,No,https://leetcode.com/problems/number-of-recent-calls
Queue,Time Needed to Buy Tickets,Easy,84,No,https://leetcode.com/problems/time-needed-to-buy-tickets
Queue,First non-repeating character in a stream,Medium,84,No,https://practice.geeksforgeeks.org/problems/first-non-repeating-character-in-a-stream1216/1?page=1&difficulty%5B%5D=1&category%5B%5D=Queue&sortBy=submissions
Queue,Circular tour,Medium,85,No,https://practice.geeksforgeeks.org/problems/circular-tour-1587115620/1?page=1&difficulty%5B%5D=1&category%5B%5D=Queue&sortBy=submissions
Queue,Count the Reversals,Medium,85,No,https://practice.geeksforgeeks.org/problems/count-the-reversals0401/1?page=1&difficulty%5B%5D=1&category%5B%5D=Queue&sortBy=submissions
Queue,Stack Permutations,Medium,85,No,https://practice.geeksforgeeks.org/problems/stack-permutations/1?page=1&difficulty%5B%5D=1&category%5B%5D=Queue&sortBy=submissions
Queue,Operations on PriorityQueue,Medium,86,No,https://practice.geeksforgeeks.org/problems/operations-on-priorityqueue/1?page=1&difficulty%5B%5D=1&category%5B%5D=Queue&sortBy=submissions
Queue,Design Circular Deque,Medium,86,No,https://leetcode.com/problems/design-circular-deque
Queue,First non-repeating character in a stream of characters,Medium,86,No,https://www.interviewbit.com/problems/first-non-repeating-character-in-a-stream-of-characters/
Queue,Sliding Window Maximum,Medium,87,No,https://www.interviewbit.com/problems/sliding-window-maximum/
Queue,Stamping The Sequence,Hard,87,No,https://leetcode.com/problems/stamping-the-sequence
Queue,Minimum Number of K Consecutive Bit Flips,Hard,88,No,https://leetcode.com/problems/minimum-number-of-k-consecutive-bit-flips
Queue,Count Subarrays With Fixed Bounds,Hard,88,No,https://leetcode.com/problems/count-subarrays-with-fixed-bounds
,,,,,#VALUE!
Tree,Inorder Traversal,Easy,89,No,https://practice.geeksforgeeks.org/problems/inorder-traversal/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Tree&sortBy=submissions
Tree,Preorder Traversal,Easy,89,No,https://practice.geeksforgeeks.org/problems/preorder-traversal/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Tree&sortBy=submissions
Tree,Postorder Traversal,Easy,89,No,https://practice.geeksforgeeks.org/problems/postorder-traversal/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Tree&sortBy=submissions
Tree,Count Leaves in Binary Tree,Easy,89,No,https://practice.geeksforgeeks.org/problems/count-leaves-in-binary-tree/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Tree&sortBy=submissions
Tree,Size of Binary Tree,Easy,90,No,https://practice.geeksforgeeks.org/problems/size-of-binary-tree/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Tree&sortBy=submissions
Tree,Sum of Binary Tree,Easy,90,No,https://practice.geeksforgeeks.org/problems/sum-of-binary-tree/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Tree&sortBy=submissions
Tree,Count Non-Leaf Nodes in Tree,Easy,90,No,https://practice.geeksforgeeks.org/problems/count-non-leaf-nodes-in-tree/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Tree&sortBy=submissions
Tree,Left View of Binary Tree,Easy,90,No,https://practice.geeksforgeeks.org/problems/left-view-of-binary-tree/1?page=1&difficulty%5B%5D=0&category%5B%5D=Tree&sortBy=submissions
Tree,Right View of Binary Tree,Easy,91,No,https://practice.geeksforgeeks.org/problems/right-view-of-binary-tree/1?page=1&difficulty%5B%5D=0&category%5B%5D=Tree&sortBy=submissions
Tree,Height of Binary Tree,Easy,91,No,https://practice.geeksforgeeks.org/problems/height-of-binary-tree/1?page=1&difficulty%5B%5D=0&category%5B%5D=Tree&sortBy=submissions
Tree,Root to leaf paths sum,Easy,91,No,https://practice.geeksforgeeks.org/problems/root-to-leaf-paths-sum/1?page=3&difficulty%5B%5D=0&category%5B%5D=Tree&sortBy=submissions
Tree,Check for Balanced Tree,Easy,91,No,https://practice.geeksforgeeks.org/problems/check-for-balanced-tree/1?page=1&difficulty%5B%5D=0&category%5B%5D=Tree&sortBy=submissions
Tree,Determine if Two Trees are Identical,Easy,92,No,https://practice.geeksforgeeks.org/problems/determine-if-two-trees-are-identical/1?page=1&difficulty%5B%5D=0&category%5B%5D=Tree&sortBy=submissions
Tree,Level order traversal,Easy,92,No,https://practice.geeksforgeeks.org/problems/level-order-traversal/1?page=1&difficulty%5B%5D=0&category%5B%5D=Tree&sortBy=submissions
Tree,Level order traversal in spiral form,Easy,92,No,https://practice.geeksforgeeks.org/problems/level-order-traversal-in-spiral-form/1?page=1&difficulty%5B%5D=0&category%5B%5D=Tree&sortBy=submissions
Tree,Mirror Tree,Easy,92,No,https://practice.geeksforgeeks.org/problems/mirror-tree/1?page=1&difficulty%5B%5D=0&category%5B%5D=Tree&sortBy=submissions
Tree,Print all nodes that don't have sibling,Easy,93,No,https://practice.geeksforgeeks.org/problems/print-all-nodes-that-dont-have-sibling/1?page=1&difficulty%5B%5D=0&category%5B%5D=Tree&sortBy=submissions
Tree,Maximum Depth Of Binary Tree,Easy,93,No,https://practice.geeksforgeeks.org/problems/maximum-depth-of-binary-tree/1?page=4&difficulty%5B%5D=0&category%5B%5D=Tree&sortBy=submissions
Tree,Shortest distance in infinite tree,Easy,93,No,https://practice.geeksforgeeks.org/problems/find-the-distance-between-two-nodes4402/1?page=4&difficulty%5B%5D=0&category%5B%5D=Tree&sortBy=submissions
Tree,Largest value in each level,Easy,93,No,https://practice.geeksforgeeks.org/problems/largest-value-in-each-level/1?page=4&difficulty%5B%5D=0&category%5B%5D=Tree&sortBy=submissions
Tree,Perfect Binary Tree,Easy,94,No,https://practice.geeksforgeeks.org/problems/perfect-binary-tree/1?page=3&difficulty%5B%5D=0&category%5B%5D=Tree&sortBy=submissions
Tree,Nodes at Odd Levels,Easy,94,No,https://practice.geeksforgeeks.org/problems/nodes-at-odd-levels/1?page=3&difficulty%5B%5D=0&category%5B%5D=Tree&sortBy=submissions
Tree,Remove Half Nodes,Easy,94,No,https://practice.geeksforgeeks.org/problems/remove-half-nodes/1?page=3&difficulty%5B%5D=0&category%5B%5D=Tree&sortBy=submissions
Tree,Find the maximum GCD of the siblings of a Binary Tree,Easy,94,No,https://practice.geeksforgeeks.org/problems/6eb51dc638ee1b936f38d1ab4b2f7062d4425463/1?page=3&difficulty%5B%5D=0&category%5B%5D=Tree&sortBy=submissions
Tree,Maximum Node Level,Easy,95,No,https://practice.geeksforgeeks.org/problems/maximum-node-level/1?page=3&difficulty%5B%5D=0&category%5B%5D=Tree&sortBy=submissions
Tree,Deletion in a Binary Tree,Easy,95,No,https://practice.geeksforgeeks.org/problems/deletion-in-a-binary-tree/1?page=3&difficulty%5B%5D=0&category%5B%5D=Tree&sortBy=submissions
Tree,Check if two Nodes are Cousins,Easy,95,No,https://practice.geeksforgeeks.org/problems/check-if-two-nodes-are-cousins/1?page=2&difficulty%5B%5D=0&category%5B%5D=Tree&sortBy=submissions
Tree,Vertical Order traversal of Binary Tree,Medium,95,No,https://www.interviewbit.com/problems/vertical-order-traversal-of-binary-tree/
Tree,Diagonal Traversal,Medium,96,No,https://www.interviewbit.com/problems/diagonal-traversal/
Tree,Flatten Binary Tree to Linked List,Medium,96,No,https://www.interviewbit.com/problems/flatten-binary-tree-to-linked-list/
Tree,Merge two Binary Tree,Medium,96,No,https://www.interviewbit.com/problems/merge-two-binary-tree/
Tree,Maximum Edge Removal,Medium,97,No,https://www.interviewbit.com/problems/maximum-edge-removal/
Tree,Populate Next Right Pointers Tree,Medium,97,No,https://www.interviewbit.com/problems/populate-next-right-pointers-tree/
Tree,Burn a Tree,Medium,97,No,https://www.interviewbit.com/problems/burn-a-tree/
Tree,Boundary Traversal of binary tree,Medium,98,No,https://practice.geeksforgeeks.org/problems/boundary-traversal-of-binary-tree/1?page=1&difficulty%5B%5D=1&category%5B%5D=Tree&sortBy=submissions
Tree,Diameter of a Binary Tree,Medium,98,No,https://practice.geeksforgeeks.org/problems/diameter-of-binary-tree/1?page=1&difficulty%5B%5D=1&category%5B%5D=Tree&sortBy=submissions
Tree,Sum Tree,Medium,98,No,https://practice.geeksforgeeks.org/problems/sum-tree/1?page=1&difficulty%5B%5D=1&category%5B%5D=Tree&sortBy=submissions
Tree,Top View of Binary Tree,Medium,99,No,https://practice.geeksforgeeks.org/problems/top-view-of-binary-tree/1?page=1&difficulty%5B%5D=1&category%5B%5D=Tree&sortBy=submissions
Tree,Bottom View of Binary Tree,Medium,99,No,https://practice.geeksforgeeks.org/problems/bottom-view-of-binary-tree/1?page=1&difficulty%5B%5D=1&category%5B%5D=Tree&sortBy=submissions
Tree,Lowest Common Ancestor in a Binary Tree,Medium,99,No,https://practice.geeksforgeeks.org/problems/lowest-common-ancestor-in-a-binary-tree/1?page=1&difficulty%5B%5D=1&category%5B%5D=Tree&sortBy=submissions
Tree,Maximum difference between node and its ancestor,Medium,100,No,https://practice.geeksforgeeks.org/problems/maximum-difference-between-node-and-its-ancestor/1?page=1&difficulty%5B%5D=1&category%5B%5D=Tree&sortBy=submissions
Tree,Serialize and Deserialize a Binary Tree,Medium,100,No,https://practice.geeksforgeeks.org/problems/serialize-and-deserialize-a-binary-tree/1?page=1&difficulty%5B%5D=1&category%5B%5D=Tree&sortBy=submissions
Tree,Maximum sum of Non-adjacent nodes,Medium,100,No,https://practice.geeksforgeeks.org/problems/maximum-sum-of-non-adjacent-nodes/1?page=2&difficulty%5B%5D=1&category%5B%5D=Tree&sortBy=submissions
Tree,Foldable Binary Tree,Medium,101,No,https://practice.geeksforgeeks.org/problems/foldable-binary-tree/1?page=2&difficulty%5B%5D=1&category%5B%5D=Tree&sortBy=submissions
Tree,Construct Binary Tree from Parent Array,Medium,101,No,https://practice.geeksforgeeks.org/problems/construct-binary-tree-from-parent-array/1?page=2&difficulty%5B%5D=1&category%5B%5D=Tree&sortBy=submissions
Tree,Make Binary Tree From Linked List,Medium,101,No,https://practice.geeksforgeeks.org/problems/make-binary-tree/1?page=2&difficulty%5B%5D=1&category%5B%5D=Tree&sortBy=submissions
Tree,Check Mirror in N-ary tree,Medium,102,No,https://practice.geeksforgeeks.org/problems/check-mirror-in-n-ary-tree1528/1?page=2&difficulty%5B%5D=1&category%5B%5D=Tree&sortBy=submissions
Tree,Inorder Traversal (Iterative),Medium,102,No,https://practice.geeksforgeeks.org/problems/inorder-traversal-iterative/1?page=3&difficulty%5B%5D=1&category%5B%5D=Tree&sortBy=submissions
Tree,Postorder Traversal (Iterative),Medium,102,No,https://practice.geeksforgeeks.org/problems/postorder-traversal-iterative/1?page=3&difficulty%5B%5D=1&category%5B%5D=Tree&sortBy=submissions
Tree,Print Nodes having K leaves,Medium,103,No,https://practice.geeksforgeeks.org/problems/print-nodes-having-k-leaves/1?page=3&difficulty%5B%5D=1&category%5B%5D=Tree&sortBy=submissions
